,average_fillable_items,avg_branching_factor,bound_gap_variance,bound_variance,capacity_density,capacity_ratio,capacity_utilization,cell_value_variance,cells_allocated,dp_mean_improvement_amount,dp_sum_improvement_amount,duplicate_items,duplicate_pairs,duplicate_ratio_fraction,exclude_count,explored_children,explored_generated_ratio,fill_rate,final_queue_size,first_improvement_node,first_skipped_position,improvement_count,include_count,include_ratio,internal_nodes,kendall_corr,last_improvement_node,last_selected_position,leaf_nodes,left_branches,max_bound,max_depth,max_queue_size,max_value,max_weight,mean_bound,mean_bound_gap,mean_cell_value,mean_depth,mean_improvement_amount,mean_queue_size,mean_ratio,mean_value,mean_weight,median_depth,median_ratio,median_value,median_weight,memory_bytes,memory_mb,min_bound,min_depth,min_value,min_weight,nodes_explored,nodes_generated,nodes_pruned,nonzero_value_states,pearson_corr,pruned_by_bound,pruned_by_cap,pruned_generated_ratio,ratio_entropy,residual_capacity,right_branches,selected_count,skipped_by_bound,skipped_by_cap,skipped_children,skipped_infeasible,slack,solution_density,solution_value,spearman_corr,std_ratio,std_value,std_weight,sum_improvement_amount,tie_count,time_millis,time_nanos,total_evaluations,total_value,total_weight,unique_pairs,unique_ratio_count,unique_values,unique_weights,updates_per_cell,value_cv,value_kurtosis,value_skewness,weight_cv,weight_kurtosis,weight_skewness,zero_value_states
last_improvement_node,0.319384,0.120326,-0.029631,-0.062101,0.121212,0.121262,0.063765,0.233213,0.320083,-0.047946,0.176414,0.037411,0.058517,0.109994,0.287501,0.531882,-0.151895,0.051080,0.118030,,0.338213,0.370999,0.338747,0.105206,0.562018,0.099391,1.000000,0.231231,,0.153103,0.221396,0.270554,0.087665,0.001067,0.059771,0.221485,-0.041502,0.156311,0.373193,-0.043317,0.163113,-0.056466,0.017765,0.004024,0.357968,0.000239,0.013894,0.003927,0.083125,0.083126,0.221933,,-0.039966,-0.059993,0.319251,0.531882,0.089673,0.320079,0.092455,0.153267,0.539425,-0.098386,-0.101292,0.001854,0.563002,0.337560,0.020838,,0.586168,0.587411,0.096969,0.128358,0.221442,0.092773,-0.058397,0.009493,0.018808,0.221452,0.711151,0.302385,0.302385,0.337106,0.215774,0.213237,0.221330,0.207185,0.202552,0.203522,0.322478,-0.014240,-0.033770,-0.006802,0.002617,-0.025460,-0.001676,-0.059993
last_selected_position,0.802952,0.263685,0.512018,-0.097227,0.276326,0.277745,0.307309,0.768766,0.802740,-0.063368,0.719477,0.210787,0.219978,0.257426,0.794380,0.348864,-0.246171,0.241801,0.208288,,0.791544,0.788510,0.789596,0.134029,0.347545,0.100872,0.231231,1.000000,,0.226317,0.765508,0.680548,0.130122,0.421261,0.279037,0.765740,0.497336,0.711038,0.763513,-0.038262,0.227390,-0.071674,0.002312,-0.001409,0.775230,-0.031395,0.010885,0.004487,0.126109,0.126109,0.766394,,-0.269888,-0.283252,0.200038,0.348864,0.055023,0.802776,0.108996,0.094296,0.332283,0.130665,-0.144818,-0.040728,0.347634,0.794622,0.058000,,0.338354,0.338492,0.487152,0.219836,0.765748,0.110234,-0.010584,0.108235,0.093477,0.765739,0.402006,0.202430,0.202430,0.795914,0.734964,0.735101,0.748085,0.751979,0.730100,0.729855,0.806378,0.036960,-0.074420,0.005109,0.032322,-0.120009,-0.003865,-0.283252
leaf_nodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
left_branches,0.292488,0.832930,-0.028812,-0.059837,0.115306,0.116088,0.057171,0.304208,0.291924,0.071208,0.318132,0.241420,0.245818,0.261990,0.291545,0.675180,-0.945180,0.049656,0.963870,,0.307190,0.300857,0.302411,0.106901,0.575893,-0.078170,0.153103,0.226317,,1.000000,0.311729,0.182934,0.574386,0.046299,0.058462,0.311728,-0.039612,0.319195,0.296946,0.052542,0.999452,0.045979,-0.005233,-0.001023,0.288015,-0.009819,-0.004038,0.000524,0.545068,0.545069,0.312168,,-0.054438,-0.059167,0.330987,0.675180,0.173519,0.291922,-0.077899,0.300764,0.574274,-0.082419,-0.006358,0.206040,0.576197,0.306307,0.082558,,0.443259,0.443358,0.087504,0.124493,0.311633,-0.077727,0.072804,0.011991,0.018601,0.311608,0.154406,0.398590,0.398590,0.300093,0.193196,0.193710,0.158135,0.155744,0.188097,0.188167,0.298556,0.005846,-0.022784,0.002144,0.007022,-0.023258,-0.001661,-0.059167
max_bound,0.956442,0.326864,0.617775,0.051541,0.479653,0.482179,0.244702,0.963834,0.956178,0.256523,0.953562,0.421349,0.429443,0.434377,0.889071,0.505943,-0.363607,0.216995,0.294969,,0.978243,0.968404,0.943034,0.430087,0.507236,-0.167560,0.221396,0.765508,,0.311729,1.000000,0.644854,0.178594,0.134091,0.229809,0.999999,0.603800,0.983711,0.805703,0.245831,0.312226,0.098199,0.004977,-0.000928,0.829121,-0.015926,0.014183,0.002111,0.176219,0.176219,0.999991,,-0.211363,-0.230717,0.289962,0.505943,0.052841,0.956184,-0.167961,0.090360,0.485214,0.193932,-0.248740,0.168054,0.506994,0.977935,0.116898,,0.497710,0.497516,0.248602,0.479999,0.999999,-0.167176,0.183058,0.061930,0.076031,0.999999,0.395015,0.289278,0.289278,0.925788,0.602987,0.603271,0.561286,0.569525,0.598483,0.598946,0.976834,0.011181,-0.100854,-0.015048,0.026035,-0.099240,-0.000165,-0.230717
max_depth,0.627430,0.261360,0.361654,-0.155067,0.033445,0.033052,0.277431,0.635585,0.627293,0.006461,0.607203,0.542463,0.564619,0.608765,0.615071,0.374124,-0.210176,0.271066,0.170067,,0.673352,0.673300,0.653139,-0.121371,0.383295,-0.061850,0.270554,0.680548,,0.182934,0.644854,1.000000,0.104874,0.249511,0.349977,0.644762,0.315754,0.614102,0.902429,0.050011,0.184769,0.028648,0.011218,0.000598,0.884107,-0.031095,0.020634,0.004582,0.112228,0.112228,0.645090,,-0.313463,-0.349687,0.220277,0.374124,0.034729,0.627366,-0.064361,0.058345,0.344296,-0.163490,-0.373096,-0.078938,0.383080,0.673410,0.091253,,0.386005,0.385848,0.757300,-0.006822,0.644741,-0.062991,0.128865,0.094712,0.108652,0.644720,0.415375,0.210431,0.210431,0.645039,0.884626,0.883690,0.837902,0.839356,0.882052,0.883138,0.677820,0.014109,-0.142115,-0.011771,0.033271,-0.148621,-0.000901,-0.349687
max_queue_size,0.168027,0.478941,-0.015615,-0.034149,0.065940,0.066404,0.032749,0.174836,0.167700,0.039958,0.182603,0.137696,0.140154,0.149097,0.167865,0.386176,-0.543437,0.028333,0.554352,,0.176336,0.172672,0.174028,0.061007,0.328853,-0.043489,0.087665,0.130122,,0.574386,0.178594,0.104874,1.000000,0.026784,0.033385,0.178594,-0.021499,0.182578,0.170165,0.029556,0.574213,0.025678,-0.002839,-0.000700,0.165083,-0.005428,-0.002186,0.000203,0.948624,0.948624,0.178850,,-0.031034,-0.033784,0.585970,0.386176,0.302580,0.167698,-0.043354,0.172843,0.329244,-0.046259,-0.003228,0.116707,0.329145,0.175835,0.036884,,0.252357,0.252541,0.050231,0.071051,0.178528,-0.043255,0.040850,0.006792,0.010549,0.178525,0.090053,0.699079,0.699079,0.172762,0.110978,0.111249,0.091024,0.089614,0.107918,0.107964,0.171389,0.003188,-0.012903,0.001147,0.004058,-0.013217,-0.000875,-0.033784
max_value,0.216148,0.091861,0.096379,-0.290135,-0.026690,-0.038871,0.330926,0.132463,0.216819,-0.348068,0.087209,-0.045553,-0.044092,0.036347,0.234060,-0.012115,-0.021065,0.259174,0.033035,,0.162075,0.161758,0.161229,-0.255884,-0.021511,0.350765,0.001067,0.421261,,0.046299,0.134091,0.249511,0.026784,1.000000,0.551136,0.134455,0.129026,0.079593,0.219103,-0.212641,0.046022,-0.175938,0.183825,0.125300,0.217497,-0.010039,0.107449,0.070202,0.020316,0.020316,0.135634,,-0.289251,-0.327158,-0.010836,-0.012115,0.035872,0.216917,0.366452,0.061803,-0.020316,0.069120,0.220226,-0.290188,-0.021382,0.167633,-0.015261,,-0.032401,-0.032292,0.330669,-0.178393,0.134478,0.367922,-0.150608,0.370275,0.262695,0.134442,0.082673,-0.002641,-0.002641,0.189421,0.361820,0.362028,0.398970,0.395768,0.391821,0.391194,0.189748,0.060689,-0.024062,0.045683,0.037239,-0.165599,-0.033949,-0.327158
max_weight,0.224916,0.130711,0.117011,-0.091483,-0.023967,-0.048545,0.244293,0.183994,0.226016,-0.023587,0.172099,0.140128,0.150258,0.222175,0.188058,0.099961,-0.063725,0.285392,0.052966,,0.238151,0.238762,0.188594,-0.171792,0.100888,-0.029711,0.059771,0.279037,,0.058462,0.229809,0.349977,0.033385,0.551136,1.000000,0.229788,0.136464,0.215442,0.311672,0.038269,0.058752,0.032025,0.108336,0.256390,0.304928,-0.136423,0.074744,0.151363,0.035974,0.035974,0.229782,,-0.432726,-0.355590,0.058234,0.099961,0.013131,0.226123,-0.031081,0.022301,0.090036,-0.008701,-0.191324,-0.087863,0.100707,0.239225,0.034798,,0.099802,0.099620,0.344695,-0.093529,0.229822,-0.029510,0.090769,0.348605,0.402663,0.229800,0.109349,0.057594,0.057594,0.189861,0.376492,0.377384,0.375497,0.378326,0.412777,0.413204,0.244432,0.091937,-0.135358,0.017074,0.012084,-0.152872,-0.035098,-0.355590
mean_bound,0.956583,0.326868,0.617755,0.051067,0.479859,0.482384,0.245300,0.963883,0.956319,0.255551,0.953586,0.420873,0.428962,0.433889,0.889189,0.505878,-0.363592,0.216998,0.294965,,0.978331,0.968509,0.943125,0.430124,0.507163,-0.166508,0.221485,0.765740,,0.311728,0.999999,0.644762,0.178594,0.134455,0.229788,1.000000,0.603789,0.983663,0.805837,0.244865,0.312224,0.097530,0.004984,-0.000910,0.829273,-0.016038,0.014161,0.002126,0.176199,0.176199,0.999994,,-0.211346,-0.230675,0.289922,0.505878,0.052860,0.956324,-0.166911,0.090391,0.485184,0.194058,-0.248303,0.167696,0.506922,0.978029,0.116808,,0.497629,0.497437,0.248526,0.480096,1.000000,-0.166126,0.182399,0.061961,0.076015,1.000000,0.395172,0.289251,0.289251,0.925894,0.602985,0.603268,0.561383,0.569606,0.598483,0.598946,0.976929,0.011190,-0.100779,-0.014983,0.026010,-0.099251,-0.000181,-0.230675
mean_bound_gap,0.600693,0.007168,0.949813,0.253165,0.315159,0.317141,0.163411,0.607718,0.600910,0.135854,0.546894,-0.052344,-0.054145,-0.063574,0.607097,-0.068614,0.043180,0.133474,-0.035826,,0.563451,0.549164,0.570241,0.264760,-0.069370,-0.013398,-0.041502,0.497336,,-0.039612,0.603800,0.315754,-0.021499,0.129026,0.136464,0.603789,1.000000,0.560746,0.290071,0.169881,-0.039772,0.007803,-0.003100,-0.002594,0.334098,-0.013308,0.002921,0.002093,-0.020499,-0.020499,0.603343,,-0.131028,-0.137755,-0.035340,-0.068614,-0.008585,0.600911,-0.012773,-0.014532,-0.061507,0.496362,-0.128962,-0.122553,-0.069214,0.565139,-0.026678,,-0.068768,-0.068609,0.138587,0.278597,0.603962,-0.012253,0.053955,0.050336,0.049543,0.603966,0.086419,-0.030416,-0.030416,0.581400,0.363185,0.364635,0.404053,0.415124,0.360083,0.360046,0.588072,0.019889,-0.050899,-0.004523,0.019873,-0.058953,-0.000037,-0.137755
mean_cell_value,0.891245,0.332873,0.584753,0.081529,0.445288,0.447869,0.224980,0.942096,0.890869,0.296670,0.964004,0.488360,0.494179,0.482002,0.810801,0.527527,-0.389070,0.203267,0.308324,,0.934535,0.920628,0.893539,0.417521,0.530028,-0.246085,0.156311,0.711038,,0.319195,0.983711,0.614102,0.182578,0.079593,0.215442,0.983663,0.560746,1.000000,0.770982,0.259251,0.319092,0.147095,0.001478,-0.002622,0.791303,-0.013866,0.011703,0.000298,0.180909,0.180909,0.983478,,-0.199502,-0.216971,0.301696,0.527527,0.038103,0.890875,-0.246511,0.065203,0.510123,0.149065,-0.274518,0.232602,0.529626,0.933543,0.135176,,0.521465,0.521102,0.234090,0.466357,0.983659,-0.245862,0.238767,0.054183,0.072548,0.983658,0.284199,0.299285,0.299285,0.862766,0.563526,0.564093,0.504935,0.516422,0.559306,0.560066,0.927026,0.010624,-0.102719,-0.017318,0.026708,-0.093868,0.001079,-0.216971
mean_depth,0.811295,0.342357,0.332379,-0.153049,0.232347,0.233460,0.292923,0.790699,0.810809,0.004480,0.768637,0.455946,0.479860,0.540259,0.761766,0.538141,-0.340904,0.257248,0.278191,,0.855861,0.860042,0.823203,0.115126,0.545279,-0.009846,0.373193,0.763513,,0.296946,0.805703,0.902429,0.170165,0.219103,0.311672,0.805837,0.290071,0.770982,1.000000,0.004807,0.298810,0.001479,0.014695,-0.001106,0.995232,-0.024290,0.021186,0.002340,0.171068,0.171068,0.806407,,-0.274115,-0.312633,0.311639,0.538141,0.057181,0.810854,-0.014440,0.096987,0.511702,-0.106060,-0.324339,0.055780,0.545211,0.855640,0.109094,,0.541990,0.542008,0.564469,0.214791,0.805785,-0.013165,0.084105,0.082440,0.098302,0.805776,0.574625,0.304904,0.304904,0.809437,0.803713,0.801956,0.768433,0.764850,0.799584,0.800212,0.849868,0.007672,-0.128828,-0.010904,0.031973,-0.132659,0.000831,-0.312633
mean_improvement_amount,0.161968,-0.003819,0.128809,0.432647,0.250200,0.247702,-0.164972,0.157021,0.162335,0.930346,0.162501,0.289586,0.289007,0.266839,0.121548,0.080216,-0.062722,0.057148,0.049395,,0.172959,0.155337,0.129568,0.326194,0.080300,-0.789325,-0.043317,-0.038262,,0.052542,0.245831,0.050011,0.029556,-0.212641,0.038269,0.244865,0.169881,0.259251,0.004807,1.000000,0.052179,0.494951,0.038301,0.033495,0.009023,0.068388,0.047824,0.024672,0.035277,0.035276,0.242639,,0.003807,0.003912,0.045412,0.080216,0.004027,0.162321,-0.785136,0.007322,0.065506,0.180394,-0.259108,0.230867,0.079846,0.169492,0.054640,,0.078647,0.078161,-0.083255,0.278787,0.244875,-0.785328,0.502600,0.004814,0.010282,0.244855,-0.038136,0.043562,0.043562,0.124298,-0.002254,-0.000599,-0.062456,-0.046936,-0.001486,-0.000980,0.172023,-0.025263,-0.068172,-0.066916,-0.022250,-0.001994,-0.007494,0.003912
mean_queue_size,0.293792,0.832448,-0.028920,-0.060063,0.115362,0.116132,0.057289,0.305080,0.293270,0.070474,0.318509,0.241994,0.246502,0.262459,0.292836,0.679355,-0.946233,0.049846,0.963199,,0.308645,0.302625,0.304077,0.106730,0.580454,-0.076868,0.163113,0.227390,,0.999452,0.312226,0.184769,0.574213,0.046022,0.058752,0.312224,-0.039772,0.319092,0.298810,0.052179,1.000000,0.045266,-0.004779,-0.000962,0.289768,-0.009619,-0.003712,0.000545,0.546104,0.546104,0.312671,,-0.054565,-0.059439,0.333587,0.679355,0.175482,0.293268,-0.076658,0.304484,0.580507,-0.083114,-0.007281,0.204678,0.580917,0.307767,0.069643,,0.448188,0.448462,0.088627,0.124480,0.312129,-0.076484,0.071898,0.011917,0.018600,0.312104,0.159325,0.401103,0.401103,0.301746,0.194717,0.195194,0.159579,0.157106,0.189421,0.189512,0.299905,0.005408,-0.022966,0.001865,0.006938,-0.023317,-0.001670,-0.059439
mean_ratio,-0.004975,0.023980,0.007365,0.440091,-0.005822,0.001919,-0.209431,0.051458,-0.006075,0.591126,0.088422,0.231675,0.233997,0.233377,-0.025696,0.091751,-0.072534,0.116214,0.049881,,0.038182,0.025702,0.014448,0.130311,0.094220,-0.626601,-0.056466,-0.071674,,0.045979,0.098199,0.028648,0.025678,-0.175938,0.032025,0.097530,0.007803,0.147095,0.001479,0.494951,0.045266,1.000000,0.036391,-0.090605,-0.003412,0.151919,0.039469,-0.069543,0.029383,0.029383,0.095823,,-0.026338,-0.154810,0.052125,0.091751,-0.012344,-0.006020,-0.627845,-0.020929,0.087605,-0.006917,-0.362936,0.321922,0.093756,0.034794,0.058167,,0.095146,0.094657,-0.009265,0.102259,0.097555,-0.626962,0.938894,0.060039,0.127601,0.097534,-0.100260,0.049006,0.049006,-0.003604,-0.008300,-0.010144,-0.058204,-0.048985,-0.010702,-0.010304,0.026898,0.012817,-0.067888,-0.037469,0.157641,-0.031435,0.029278,-0.154810
mean_value,0.002273,0.009798,-0.004347,-0.011270,0.028717,-0.005087,-0.015043,0.002372,0.005559,0.034523,-0.001873,-0.004635,-0.003944,-0.010812,0.001066,0.003825,0.003318,-0.093604,-0.004197,,0.002994,0.005327,0.002066,-0.005551,0.004984,0.046103,0.017765,0.002312,,-0.005233,0.004977,0.011218,-0.002839,0.183825,0.108336,0.004984,-0.003100,0.001478,0.014695,0.038301,-0.004779,0.036391,1.000000,0.383170,0.014343,0.461056,0.881214,0.343786,-0.002999,-0.002999,0.005158,,0.273046,0.126061,0.002666,0.003825,-0.000937,0.005514,0.046813,-0.001589,0.005600,-0.041716,0.001264,0.002085,0.005138,0.002832,-0.012408,,0.006276,0.006449,0.008478,-0.011658,0.004946,0.046752,0.012942,0.024437,0.014558,0.004963,0.017975,0.001903,0.001903,0.002193,0.018178,0.009281,0.005447,0.005074,0.005452,0.005278,0.002339,-0.775874,-0.005856,-0.802777,-0.307941,-0.018056,-0.301364,0.126061
mean_weight,-0.000709,-0.005818,0.001643,-0.034321,0.077639,-0.009898,-0.073933,0.000684,0.008086,0.018291,0.002080,0.001167,0.001347,-0.012288,0.003244,0.002561,0.001047,-0.162955,-0.001844,,-0.004140,-0.003819,0.002301,-0.020523,0.003123,-0.008982,0.004024,-0.001409,,-0.001023,-0.000928,0.000598,-0.000700,0.125300,0.256390,-0.000910,-0.002594,-0.002622,-0.001106,0.033495,-0.000962,-0.090605,0.383170,1.000000,-0.001412,-0.470054,0.327088,0.890194,-0.000220,-0.000220,-0.000869,,0.110739,0.223300,0.001564,0.002561,0.000053,0.008007,-0.005313,0.000192,0.001269,-0.052403,0.009528,0.060696,0.003013,-0.004417,0.010183,,0.003736,0.003617,0.012332,-0.051158,-0.000921,-0.006913,-0.059827,0.065736,0.069541,-0.000914,0.000415,0.001322,0.001322,0.002646,0.004844,0.013502,-0.000577,-0.000176,-0.000455,-0.000579,-0.003543,-0.258139,-0.003136,-0.271719,-0.768672,-0.040005,-0.828984,0.223300
median_depth,0.838056,0.333092,0.376368,-0.133716,0.266256,0.267667,0.294268,0.814340,0.837521,0.009922,0.788026,0.421626,0.444877,0.504642,0.788134,0.518013,-0.330399,0.255552,0.269822,,0.876937,0.880271,0.844406,0.152755,0.524497,-0.000902,0.357968,0.775230,,0.288015,0.829121,0.884107,0.165083,0.217497,0.304928,0.829273,0.334098,0.791303,0.995232,0.009023,0.289768,-0.003412,0.014343,-0.001412,1.000000,-0.023779,0.020573,0.002140,0.165536,0.165536,0.829817,,-0.268232,-0.306080,0.299899,0.518013,0.055780,0.837563,-0.005496,0.094618,0.493152,-0.063744,-0.316585,0.054477,0.524444,0.876843,0.103739,,0.520870,0.520901,0.534544,0.247957,0.829231,-0.004239,0.076756,0.081594,0.096934,0.829223,0.569997,0.294154,0.294154,0.832248,0.790256,0.788535,0.761260,0.757963,0.785794,0.786392,0.872377,0.008121,-0.125780,-0.010502,0.032041,-0.129919,0.001182,-0.306080
median_ratio,-0.023113,-0.009581,-0.017729,0.095218,-0.033028,0.008492,-0.033675,-0.017663,-0.027091,0.089081,-0.020655,-0.013722,-0.014015,-0.007986,-0.023650,-0.012623,0.009597,0.020195,-0.008091,,-0.019559,-0.019549,-0.021812,0.045320,-0.012492,-0.056375,0.000239,-0.031395,,-0.009819,-0.015926,-0.031095,-0.005428,-0.010039,-0.136423,-0.016038,-0.013308,-0.013866,-0.024290,0.068388,-0.009619,0.151919,0.461056,-0.470054,-0.023779,1.000000,0.496974,-0.493163,-0.006448,-0.006448,-0.016178,,0.127207,-0.032854,-0.007185,-0.012623,-0.001887,-0.027077,-0.058901,-0.003248,-0.009796,0.021965,-0.010640,0.029615,-0.012298,-0.019960,-0.019196,,-0.012061,-0.011850,-0.041316,0.052954,-0.016060,-0.056944,0.094360,-0.059000,-0.059000,-0.016059,-0.003794,-0.007499,-0.007499,-0.022413,-0.032697,-0.045235,-0.039163,-0.039759,-0.041232,-0.041442,-0.022001,-0.392355,0.074771,-0.475296,0.359905,0.085627,0.462382,-0.032854
median_value,0.008686,0.019066,0.000245,-0.006693,0.022619,-0.006228,-0.005223,0.008392,0.011652,0.045764,0.004541,0.003478,0.004490,0.001145,0.005378,0.003476,0.002075,-0.047724,-0.002930,,0.010647,0.012205,0.006768,-0.005205,0.004435,0.015464,0.013894,0.010885,,-0.004038,0.014183,0.020634,-0.002186,0.107449,0.074744,0.014161,0.002921,0.011703,0.021186,0.047824,-0.003712,0.039469,0.881214,0.327088,0.020573,0.496974,1.000000,0.365118,-0.002099,-0.002099,0.014242,,0.170112,0.065539,0.002336,0.003476,-0.001500,0.011628,0.015968,-0.002587,0.004482,-0.035186,-0.017576,0.011456,0.004545,0.010563,-0.008728,,0.005498,0.005622,0.017770,-0.006927,0.014129,0.016172,0.025394,0.001267,0.004517,0.014141,0.014865,0.001577,0.001577,0.006618,0.027262,0.019455,0.015219,0.015277,0.017656,0.017634,0.010141,-0.705094,0.004493,-0.884538,-0.274396,0.002207,-0.322296,0.065539
median_weight,0.002583,-0.000202,0.004520,-0.014059,0.069451,-0.008390,-0.062111,0.002739,0.010599,0.023073,0.004316,0.002817,0.002994,-0.009018,0.005671,0.004818,-0.001100,-0.107823,-0.000145,,-0.000389,-0.000044,0.004923,-0.010629,0.005350,-0.010584,0.003927,0.004487,,0.000524,0.002111,0.004582,0.000203,0.070202,0.151363,0.002126,0.002093,0.000298,0.002340,0.024672,0.000545,-0.069543,0.343786,0.890194,0.002140,-0.493163,0.365118,1.000000,0.000988,0.000988,0.002140,,0.077642,0.149728,0.002886,0.004818,-0.000000,0.010546,-0.006599,0.000029,0.003613,-0.037534,0.000896,0.048199,0.005249,-0.000481,0.009778,,0.005875,0.005767,0.016165,-0.039187,0.002119,-0.008373,-0.050326,0.037895,0.050402,0.002125,0.002129,0.002689,0.002689,0.005220,0.010053,0.017698,0.004894,0.005267,0.005151,0.005219,0.000460,-0.248894,0.004541,-0.318304,-0.699345,-0.034746,-0.901349,0.149728
memory_bytes,0.163790,0.473540,-0.014151,-0.036299,0.065243,0.065660,0.032390,0.168050,0.163489,0.046341,0.175557,0.145686,0.149377,0.160402,0.157313,0.381679,-0.540539,0.030446,0.546758,,0.174850,0.172030,0.167615,0.061107,0.328925,-0.052574,0.083125,0.126109,,0.545068,0.176219,0.112228,0.948624,0.020316,0.035974,0.176199,-0.020499,0.180909,0.171068,0.035277,0.546104,0.029383,-0.002999,-0.000220,0.165536,-0.006448,-0.002099,0.000988,1.000000,1.000000,0.176444,,-0.032997,-0.036174,0.580061,0.381679,0.152349,0.163488,-0.052593,0.086560,0.331590,-0.058173,-0.017447,0.124953,0.329202,0.174301,0.038182,,0.257951,0.258133,0.053552,0.072404,0.176133,-0.052495,0.045318,0.006144,0.010531,0.176129,0.094380,0.684827,0.684827,0.164983,0.111940,0.112218,0.090301,0.089290,0.110197,0.110168,0.169258,0.002634,-0.014879,0.000106,0.003399,-0.013722,-0.001359,-0.036174
memory_mb,0.163790,0.473540,-0.014150,-0.036299,0.065243,0.065660,0.032390,0.168050,0.163489,0.046341,0.175557,0.145686,0.149377,0.160402,0.157313,0.381680,-0.540539,0.030446,0.546758,,0.174850,0.172030,0.167615,0.061107,0.328925,-0.052574,0.083126,0.126109,,0.545069,0.176219,0.112228,0.948624,0.020316,0.035974,0.176199,-0.020499,0.180909,0.171068,0.035276,0.546104,0.029383,-0.002999,-0.000220,0.165536,-0.006448,-0.002099,0.000988,1.000000,1.000000,0.176444,,-0.032997,-0.036174,0.580062,0.381680,0.152349,0.163489,-0.052593,0.086560,0.331590,-0.058173,-0.017447,0.124952,0.329202,0.174301,0.038182,,0.257952,0.258133,0.053552,0.072404,0.176133,-0.052495,0.045318,0.006144,0.010531,0.176129,0.094380,0.684828,0.684828,0.164983,0.111940,0.112218,0.090301,0.089290,0.110197,0.110169,0.169258,0.002634,-0.014879,0.000106,0.003399,-0.013722,-0.001359,-0.036174
min_bound,0.956989,0.327378,0.617400,0.048799,0.479739,0.482262,0.245708,0.964130,0.956725,0.253017,0.953751,0.420869,0.428965,0.434016,0.889700,0.506604,-0.364122,0.216767,0.295403,,0.978611,0.968848,0.943556,0.429564,0.507888,-0.163920,0.221933,0.766394,,0.312168,0.999991,0.645090,0.178850,0.135634,0.229782,0.999994,0.603343,0.983478,0.806407,0.242639,0.312671,0.095823,0.005158,-0.000869,0.829817,-0.016178,0.014242,0.002140,0.176444,0.176444,1.000000,,-0.211329,-0.230541,0.290336,0.506604,0.052940,0.956730,-0.164308,0.090527,0.485920,0.193450,-0.246983,0.166960,0.507651,0.978322,0.116640,,0.498338,0.498149,0.248756,0.479624,0.999993,-0.163524,0.180714,0.062032,0.075927,0.999994,0.395921,0.289664,0.289664,0.926372,0.603350,0.603626,0.561769,0.569938,0.598823,0.599284,0.977233,0.011081,-0.100536,-0.014921,0.025919,-0.099306,-0.000195,-0.230541
min_depth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min_value,-0.205290,-0.141404,-0.112064,0.097037,0.049135,0.040128,-0.277299,-0.169329,-0.204871,0.053349,-0.159157,-0.128558,-0.136713,-0.201704,-0.172833,-0.085443,0.058708,-0.562757,-0.049270,,-0.214768,-0.214030,-0.170767,0.157744,-0.085495,0.025459,-0.039966,-0.269888,,-0.054438,-0.211363,-0.313463,-0.031034,-0.289251,-0.432726,-0.211346,-0.131028,-0.199502,-0.274115,0.003807,-0.054565,-0.026338,0.273046,0.110739,-0.268232,0.127207,0.170112,0.077642,-0.032997,-0.032997,-0.211329,,1.000000,0.723848,-0.049200,-0.085443,-0.012348,-0.205109,0.020859,-0.021040,-0.075981,-0.014232,0.200442,0.120407,-0.085312,-0.216682,-0.032062,,-0.083689,-0.083500,-0.312447,0.073678,-0.211382,0.020474,-0.085569,-0.380624,-0.311793,-0.211358,-0.082331,-0.049121,-0.049121,-0.172386,-0.340910,-0.342078,-0.342254,-0.345745,-0.376778,-0.377568,-0.222449,-0.402692,0.085793,-0.036315,-0.247007,0.116735,-0.007955,0.723848
min_weight,-0.225733,-0.156738,-0.117248,0.045441,0.060507,0.041515,-0.260083,-0.184362,-0.224760,0.017603,-0.172302,-0.139402,-0.149403,-0.229063,-0.188613,-0.100037,0.064215,-0.773009,-0.053596,,-0.240284,-0.241470,-0.189086,0.143328,-0.100860,0.038814,-0.059993,-0.283252,,-0.059167,-0.230717,-0.349687,-0.033784,-0.327158,-0.355590,-0.230675,-0.137755,-0.216971,-0.312633,0.003912,-0.059439,-0.154810,0.126061,0.223300,-0.306080,-0.032854,0.065539,0.149728,-0.036174,-0.036174,-0.230541,,0.723848,1.000000,-0.058267,-0.100037,-0.013265,-0.225093,0.039839,-0.022496,-0.089835,-0.026313,0.330036,0.101414,-0.100669,-0.241865,-0.035616,,-0.099649,-0.099457,-0.342779,0.048705,-0.230718,0.038175,-0.195986,-0.318289,-0.401124,-0.230693,-0.110525,-0.057672,-0.057672,-0.190406,-0.376060,-0.375286,-0.376655,-0.379325,-0.413381,-0.414241,-0.246359,-0.256238,0.130064,-0.005262,-0.387811,0.150517,-0.014618,1.000000
